Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Phenol,108-95-2,"Industrial and medical disinfectant; chemical intermediate in manufacture of synthetic fibers, epoxy, and other resins; solvent for petroleum refining; component of coal tar, tobacco smoke, and motor vehicle emissions",A13-01814; Benzenol; Carbolic acid; Caswell No. 649; Hydroxybenzene; Izal; Monohydroxybenzene; Monophenol; NCI-C50124; Oxybenzene; Phenic acid; Phenyl alcohol; Phenyl hydrate; Phenyl hydroxide; Phenylic acid; Phenylic alcohol; EPA Pesticide Code: 064001,Chronic Reference Exposure Levels,,,,,5800,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,200,,"Alimentary system (liver), cardiovascular system, kidney, nervous system",No,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Phenolphthalein,77-09-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"AB-FDA, AB-NTP",,,,,,,,,,,,,,,,
Phenoxybenzamine,59-96-1,Medicine (alpha-adrenergic receptor blocker with prolonged action),2-(N-Benzyl-2-chloroethylamino)-1-phenoxypropane; Bensylyte; 2-(n-benzyl-2-chloroethylamino)-1-phenoxypropane; Benzyle(2-chloroethyl)-(1-methyl-2-phenoxyethyl)amine; Benzylvyt; Dibenylin; Dibenzyline; NSC 37448; N-phenoxyisopropyl-n-benzyl-beta-chloroethylamine,Proposition 65 NSRLs/MADLs,8.9 E-4,3.1 E+0,3.1 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Phenoxybenzamine Hydrochloride,63-92-3,Medicine (antihypertensive),Dibenzyline hydrochloride; Dibenyline,Proposition 65 NSRLs/MADLs,7.7 E-4,2.7 E+0,2.7 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Phenprocoumon,435-97-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Phenyl Glycidyl Ether,122-60-1,"Reactive modifier in epoxy resin systems for protective coatings, plastic laminates, bonding materials, and floorings","1,2-epoxy-3-phenoxypropane; 2,3-epoxypropyl phenyl ether; Glycidolphenylether; PGE; Phenol glycidyl ether; 1-phenoxy-2,3-epoxypropane; (Phenoxymethyl)oxirane; Phenoxypropene oxide; Phenoxypropylene oxide; 3-phenoxy-1,2-propylene oxide; Phenyl 2,3-epoxypropyl ether; Phenylglycydyl ether; 3-phenyloxy-1,2-epoxypropane",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,AB-IARC,Formerly listed,,,,,,8/7/2009,LC,,,,,,,,
o-Phenylenediamine and its salts,95-54-5,"Chemical intermediate in synthesis of fungicides, corrosion inhibitors, pigments, and pharmaceuticals; analytical reagent; remove elemental sulfur in mining ores and aldehyde color formers in polymeric producs.","OPD; 2-aminoaniline; o-benzenediamine; 1,2-benzenediamine; CI oxidation base 16; CI 76010; O-diaminobenzene; 1,2-diaminobenzene; EK 1700; NSC 5354; Orthamine; 1,2-phenylenediamine; SQ 15500",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
o-Phenylenediamine Dihydrochloride,615-28-1,Medicine/biochemistry (ELISA),"USAF EK-678; o-phenylenediamine, dihydrochloride",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenylhydrazine,,"Chemical intermediate in synthesis of dyes and pharmaceuticals; research chemical (induces acute hemolytic anemia); reagent in production of sugars, aldehydes, and ketones; reducing agent",Hydrazinobenzene; Monophenylhydrazine,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Currently listed,AB-NIOSH,,,,,,,,,,,,,,,,
Phenylhydrazine Hydrochloride,59-88-1,"Chemical intermediate in production of dyes, nitron, antipyrine, and pharmaceuticals; reagent and reducing agent",Hydrazinobenzene,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"o-Phenylphenate, Sodium",132-27-4,"Fungicide, mold inhibitor, preservative",2-hydroxybiphenyl sodium salt; o-phenylphenol sodium salt,Proposition 65 NSRLs/MADLs,8.6 E-7,3.0 E-3,3.0 E-3,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
o-Phenylphenol,90-43-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Phenylphosphine,638-21-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Male Reproductive Toxicity,,,,,8/7/2009,SQE,,,,,,,,
"PhiP(2-Amino-1-methyl-6-phenylimidazol(4,5-b)pyridine)",105650-23-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Phosgene,75-44-5,"Chemical intermediate in production of aniline dyes, polymeric isocyanates, insecticides, pharmaceuticals, and metallurgy; degradation product of chloropicrin; formerly used as choking agent in chemical warfare (WWI and WWII)",Carbon dichloride oxide; Carbonic acid dichloride; Carbonic dichloride; Carbon oxychloride; Carbonyl chloride; Carbonyl dichloride; Chloroformyl chloride; Combat gas; CG; Dichloroformaldehyde; Dichloromethanone; NCI-C60219,Acute Reference Exposure Levels,,,,,4,Rat,Respiratory irritation,Respiratory system,Mild,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphine,7803-51-2,"Pesticide (fumigant), chemical intermediate (organophosphorus chemistry)",Phosphane; Celphos; Delicia; Detia; Fumi Strip; Hydrogen phosphide; Magtoxin; Phosphorated hydrogen; Phosphorous hydride; Phosphorous trihydride; Polytanol; EPA Pesticide Code: 66500,Chronic Reference Exposure Levels,,,,,,,,,,,,,0.8,,"Respiratory system, alimentary system (liver), nervous system, kidney, hematologic system",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphoric Acid,7664-38-2,"Reagent or chemical intermediate in production of fertilizers, waxes, polishers, and detergents; rust converter for polishing or corrosion resistance, electropolishing, food preservative, flavor enhancer, coagulant, pH adjuster in cosmetics",Evits; Orthophosphoric acid; Ortho-phosphoramide; o-Phosphoric acid; Sonac; WC-Reiniger; White phosphoric acid,Chronic Reference Exposure Levels,,,,,,,,,,,,,7,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalic Anhydride,85-44-9,"Monomer for synthetic resins; chemical intermediate in production of phthalate esters, and dyes; organic synthesis; medicine (enteric coatings)","Aromatic dicarboxylic acid anhydride; 1,2-benzenedicarboxylic acid anhydride; 1,2-benzenedicarboxylic anhydride; 1,3-dihydro-1,3-dioxoisobenzofuran; 1,3-dioxonapthalan; 1,3-dioxophthalan; 1.3-dioxo-phthalon; Esen; 1,3-isobenzofurandione; NCI-C03601; Phthalandione; 1,3-phthalandione; Phthalic acid anhydride; o-phthalic anhydride; Retarder esen; Wiltrol P",Chronic Reference Exposure Levels,,,,,,,,,,,,,20,,Respiratory system,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picloram,2/1/1918,Herbicide,"4-aminotrichloropicoulinic acid; 4-amino-3,5,6-trichloro-2-picolinic acid; 3,5,6-trichloro-4-aminopicolinic acid; Grazon; Tordon; EPA Pesticide Code: 005101",California Public Health Goals,,,,,,,,,,,,,,,,,increased liver weight,n/a,0.5,n/a,,0.166,2016,,,,,,,,,,,,,,,,,,,,,,,
Pimozide,2062-78-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",8/20/1999,FR,8/20/1999,FR,,,,,,,,,,
Pioglitazone,111025-46-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Pipobroman,54-91-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Pirimicarb,23103-98-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Plicamycin,18378-89-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Poligeenan (Polygeenan),53973-98-1,Compound degrades from carrageenan (in red algae),,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Currently listed,SQE,,,,,,,,,,,,,,,,
Polybrominated Biphenyls,,"Formerly used as flame retardant in synthetic fibers, lacquers, and molded plastics. Manufacture in US stopped in 1976.",Brominated biphenyls; Decabromobiphenyl; Polybromobiphenyls; PBB,,8.6 E-3,3.0 E+1,3.0 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,Currently listed,Developmental Toxicity,10/1/1994,AB-US EPA,,,,,,,,,,,,
Polychlorinated Biphenyls,1336-36-3,Formerly used in dielectric and coolant fluids; US manufacture banned in 1979,"Caswell No. 672A; Chlophen; Chlorextol; Chlorinated biphenyl; Chlorinated diphenyl; Chlorinated diphenylene; Chloro 1,1-biphenyl-; Dykanol; Fenclor; Inerteen; Kanechlor; Montar; Noflamol; PCB; Phenochlor; Polychlorobiphenyl; Pyralene; Pyranol; Santotherm; Sovol; Therminol; EPA Pesticide Code: 017801",,5.7 E-4,2.0 E+0,2.0 E+0,,,,,,,,,,--,,Inhalation and oral: Alimentary system (liver); reproductive system; development; endocrine system; respiratory system; hematologic system,,Carcinogenicity,0.000001,0.0005,0.000006,,0.00009,2007,,,,,,Currently listed,LC,Currently listed,Developmental Toxicity,1/1/1991,SQE,,,,,,,,,,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),,"Formerly used as coolants and lubricants in transformers, capacitors, and other electrical equipment; US manufacture banned in 1979.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Polychlorinated Dibenzo-p-dioxins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Polychlorinated Dibenzofurans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Polymeric Methylene Diphenyl Diisocyanate,9016-87-9,Production of rigid polyurethane,Poly MDI,Chronic Reference Exposure Levels,,,,,12,,Respiratory system,,,3/28/2016,0.16,3/28/2016,0.08,,Respiratory system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponceau 3R,9/8/3564,"Dye for wool, biological stain. Banned by the FDA for use in food (1960) and externally applied drugs or cosmetics (1966) in the US.","3-Hydroxy-4-[2,4,5-trimethylphenyl)azo]-2,7-naphthalenedisulfonic acid; Disodium 3-hydroxy-4-((2,4,5-trimethylphenyl)azo)-2,7-napthalenedisumphonic acid; Dolkwal ponceau 3R; FD&C Red No. 1; Maple ponceau 3R; Ponceau 3R sodium salt; Sodium cumeneazo-beta-napthol disulfonate; Usacert red no. 1",Proposition 65 NSRLs/MADLs,4.6 E-6,1.6 E-2,1.6 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Ponceau MX,3761-53-3,"Dye for textiles, leather, ink, paper, wood, and food. Use as dye for drugs and cosmetics cancelled in the US in 1966.","Acidal ponceau G; Acid leather red KPR; Acid Red 26; Ahcocid fast scarlet R; Aizen ponceau RH; Calcocid Scarlet 2R; CI F food red 5; Colacid ponceau special; Disodium (2,4-dimethylphenylazo)-2-hydroxynapthalene-3,6-disulphonate; Hexacol ponceau MX; Kiton ponceau R; Napthalene lake scarlet R; New ponceau 4R; Paper red HRR; Ponceau G; Ponceau 2R extra A export; Ponceaux 3R; Red R; Red 101; Scarlet 2R; Schultz No. 95; Tetracid Ponceau 2R; Xylidine ponceau; Xylidine red; Food Red 5; D&C Red No.5",Proposition 65 NSRLs/MADLs,1.3 E-6,4.5 E-3,4.5 E-3,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Potassium Bromate,1/2/7758,"Laboratory reagent, oxidizer (food additive to fortify flour, permanent wave neutralizing solution, textile dyeing)","Bromic acid, potassium salt",Proposition 65 NSRLs/MADLs,1.4 E-4,4.9 E-1,4.9 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Potassium Cyanide,151-50-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassium Dimethyldithiocarbamate,128-03-0,"Pesticide; industrial water treatment, rubber manufacture","Busan 85; Dimethyldithiocarbamic acid, potassium salt; EPA Pesticide Code: 034803",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,Currently listed,Developmental Toxicity,3/30/1999,AB-US EPA,,,,,,,,,,,,
Pravastatin Sodium,81131-70-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,Currently listed,Developmental Toxicity,3/3/2000,FR,,,,,,,,,,,,
Prednisolone Sodium Phosphate,125-02-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/20/1999,FR,,,,,,,,,,,,
Premarin,12126-59-9,Drug/therapeutic agent; conjugated estrogens used as estrogen replacement therapy,Estrone sodium sulfate; Sodium estrone sulfate; Par Estro; Hyhorin; Morestin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,"Considered, but not listed",,,,,,,,,,,,,,,
Primidone,125-33-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Procarbazine,671-16-9,"Medicine (antineoplastic- Hodgkin's lymphoma, brain cancers), veterinary medicine",Ibenzmethyzin; n-4-isopropylcarbamoylbenzyl-n'-methylhydrazine; 1-methyl-2(p-(isopropylcarbamoyl)benzyl)hydrazine; MIH; NSC-77213; PCX; Natulan,Proposition 65 NSRLs/MADLs,4.0 E-3,1.4 E+1,1.4 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Procarbazine Hydrochloride,366-70-1,Medicine (chemotherapy drug),Matulane,Proposition 65 NSRLs/MADLs,3.4 E-3,1.2 E-1,1.2 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Procymidone,32809-16-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Progesterone,57-83-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,"Considered, but not listed",,,,,,,,,,,,,,,
Pronamide,23950-58-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Propachlor,1918-16-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
"1,3-Propane Sultone",1120-71-4,Chemical intermediate to introduce the sulfopropyl group into molecules and confer water solubility and anionic character,"1,3-Propane Sultone; Propane sultone; 2,2-dioxide-1,2-Oxathiolane; 3-Hydroxy-1-propanesulfonic acid gamma-sultone",Proposition 65 NSRLs/MADLs,6.9 E-4,2.4 E+0,2.4 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Propargite,2312-35-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,Currently listed,Developmental Toxicity,6/15/1999,AB-US EPA,,,,,,,,,,,,
Propazine,139-40-2,pesticide,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine,, 	2-Chloro-4,6-bis(isopropylamino)-S-triazine,, 	1,3,5-Triazine-2,4-diamine, 6-chloro-N,N'-bis(1-methylethyl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,100 µg/day,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/15/2016,AB-US EPA,7/15/2016,AB-US EPA,,,,,,,,,,
Propetamphos,31218-83-4,"insecticide designed to control cockroaches, flies, ants, ticks, moths, fleas and mosquitoes on contact","Blotic, Safrotin, Seraphos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-Propiolactone,57-57-8,"Chemical intermediate in chemical synthesis; medicine (disinfectant for vaccines, tissue grafts, blood plasma, etc.)","Betaprone; BPL; Hydroacrylic acid, beta-lactone; 2-Oxetanone; Oxetan-2-one; 3-Propiolacetone; Propanolide; Propiolactone; 3-Propiolactone; Beta-proprolactone",Proposition 65 NSRLs/MADLs,4.0 E-3,1.4 E+1,1.4 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Propoxur,114-26-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
n-Propylbenzene,103-65-1,"manufacture of cumene and methylstyrene, and in textile dyeing and printing","1-Phenylpropabe, Propylbenzene,1-Propylbenzene, benzene,propyl-, Isocumene, Phenylpropane, propyl-benzene",,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,
Propylene,115-07-1,"Production of polypropylene; chemical intermediate in production of plastics, foams, and resins; aerosol propellant",Methylethene; Methylethylene; NCI-C50077; Propene; 1-Propene; 1-Propylene,Chronic Reference Exposure Levels,,,,,,,,,,,,,3000,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Propylene Glycol Butyl Ether Ester (of 2,4-D)",1928-45-6,Herbicide,"Dow Weed Killer X; 2,4-D PGBE; Caswell No. 315AK; 2,4-d, butoxypropyl ester; 2,4-D-3-butoxypropyl; Acetic acid, (2,4-dichlorophenoxy)-, 3-butoxypropyl ester; 2,4-D butoxypropyl ester; 2,4-D 3-butoxypropyl ester; 2,4-D-3-butoxypropyl [ISO]; HSDB 3424; 2,4-D propylene glycol ether ester; Butoxypropyl 2,4-dichlorphenoxyacetate; 2,4-D propylene glycol butyl ether ester; 3-Butoxypropyl 2,4-dichlorophenoxyacetate; 2,4-Dichlorophenoxyacetic acid, propylene glycol butyl ether ester; 3-Butoxypropyl (2,4-dichlorophenoxy)acetate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Propylene Glycol Mono-t-butyl Ether,57018-52-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Propylene Glycol Monomethyl Ether,107-98-2,"Solvent for cellulose, acrylics, dyes, inks, and stains; lacquers and paints",Closol; Methoxy Ether of Propylene Glycol; 2-Methoxy-1-methylethanol; 1-methoxypropanol; 1-methoxy-2-propanol; Methyl ether of propylene glycol; Propylene glycol methyl ether; Ucar Solvent LM; 1-Methoxypropan-2-ol,Chronic Reference Exposure Levels,,,,,,,,,,,,,7000,,Alimentary system (liver),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propylene Oxide,75-56-9,"Fumigant (almonds, pistachios), preparation of biological samples, herbicide component; production of polyurethane plastics, polyester resins, solvent, preservatives, de-icing fluid, liquid for electronic cigarettes. Has been used as racing fuel and glow fuel. Component of tobacco smoke","AI3-07541; Caswell No. 713A; Epoxypropane; 1,2-epoxypropane; Methyl ethylene oxide; Methyloxirane; NCI-C50099; Propene oxide; Propylene epoxide; Propyleneoxide; EPA Pesticide Code: 042501",,3.7 E-6,1.3 E-2,2.4 E-1,,3100,Mouse,"Reproductive/ development (reduced fertility and teratogenic effects in rats), respiratory and eye irritation","Reproductive/ development, respiratory system, eyes",Severe,1999,,,30,,Respiratory system,No,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Propyleneimine,75-55-8,"Chemical intermediate in paper, textile, rubber, and pharmaceutical industries; rocket fuel modifier","AI3-50325; 2-methylazidirine; 1,2-Propylene Imine; Methyl ethylene Imine; Propyleneimine; methylaziridine; 2-methylazacyclopropane; 2-methylethylenimine; PI; Propylene imine; Propylenimine; 1,2-propylenimine methylaziridine; 2-methylazacyclopropane; 2-methylethylenimine; Propyleneimine (stabilized with NaOH)",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,SQE,,,,,,,,,,,,,,,,
Propylthiouracil,51-52-5,Medicine (thyroid inhibitor),"6-Propyl-2-thiouracil; 4-hydroxy-2-mercapto-6-propylpyrimidine; 2-mercapto-6-propylpyrimid-4-one; Procasil; Propacil; Propycil; Propyl-thiorist; Propylthiouracil; 6-N-propylthiouracil; 4-propyl-2-thiouracil; 6-propylthiouracil; 6-propyl-2-thiouracil; Propyl-thyracil; Propythiouracil; Prothiurone; Prothycil; Prothyran; Protiural; PTU; Thiuragyl; 2-thio-4-oxo-6-propyl-1,3-pyrimidine; 6-thio-4-propyluracil",Proposition 65 NSRLs/MADLs,2.9 E-4,1.0 E+0,1.0 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Pulegone,89-82-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Pymetrozine,123312-89-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Pyrazachlor,6814-58-0,"Pyrazachlor is not registered for use in the United States or the European Union. At one time, it was proposed for use as a growth regulator on citrus.","1H-Pyrazole, 3-chloro-5-methyl-4-nitro-, CMNP, 5-Chloro-3-methyl-4-nitro-1H-pyrazole, 3-Chloro-5-methyl-4-nitropyrazole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Pyridine,110-86-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Pyrimethamine,58-14-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/29/1999,FR,,,,,,,,,,,,
Quazepam,36735-22-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/26/1997,FR,,,,,,,,,,,,
Quinoline and its strong acid salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Quizalofop-ethyl,76578-14-8,Herbicide; not registered for use in CA since 1993.,Assure; DPX-Y6202; NCI-96683; Pilot; Targa; EPA Pesticide Code: 128711,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,,Currently listed,Male Reproductive Toxicity,,,,,12/24/1999,SQE,,,,,,,,
Radionuclides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Radium-226,7440-14-4,Naturally occurring product of uranium decay. Former component of cosmetic and medical products.,Radium isotope,California Public Health Goals,,,,,,,,,,,,,,,,,Carcinogenicity,0.000001,5 pCi/L,0.0001,,0.05 pCi/L,2006,,,,,,,,,,,,,,,,,,,,,,,
Radium-228,15262-20-1,Naturally occurring product of thorium decay.,Radium isotope,California Public Health Goals,,,,,,,,,,,,,,,,,Carcinogenicity,0.000001,5 pCi/L,0.0003,,0.019 pCi/L,2006,,,,,,,,,,,,,,,,,,,,,,,
Reserpine,50-55-5,"Medicine (antipsychotic, antihypertensive), veterinary medicine (tranquilizer)","Anquil; Apoplon; Apresoline; Banasil; Bioserpine; Carpacil; Crystoserpine; Demi-regroton; Elserpine; Eserpine; Esidrix; Eskaserp; Hiposepil; Hydromox-R; Hydropine; Hydroserp; Hydroserpalan; Kitine; Lemiserp; Loweserp; Mallopress; Mayserpine; Naquival; NCI-C50157; Quiescin; Raucap; Raulen; Raunervil; Raupasil; Raurine; Rausan; Rausedil; Rausingle; Rauwita; Regroton; Resedril; Resercen; Reserpex; Resine; Respital; Restran; Rezide; Riserpa; Roxinoid; Sandril; Sedaraupin; Serathide; Serfin; Serolifia; Serpaloid; Serpanray; Serpasil; Serpasol; Serpate; Serpen; Serpentina; Serpicon; Serpiloid; Serpine; Sertabs; Trichlortensin; Tri-hydroserpine; Unipres; 3,4,5-Trimethoxybenzoyl methyl reserpate",Proposition 65 NSRLs/MADLs,3.1 E-3,1.1 E+1,1.1 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,,,,,,,,,,,,,,,,
Residual (heavy) fuel oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Resmethrin,10453-86-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,Currently listed,Developmental Toxicity,11/6/1998,AB-US EPA,,,,,,,,,,,,
Retinol/Retinyl Esters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1989,SQE,,,,,,,,,,,,
Ribavirin,36791-04-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",4/1/1990,FR,,,2/27/2001,FR,,,,,,,,
Riddelliine,23246-96-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
