	raw_drug_name	source_name	drug_UMLS_CUI	drug_ChEBI_ID	drug_cas#	predicate_raw	predicate_aggregate	predicate_string	indication_raw_string	umls_phen_cui	umls_phen_PT	drug_cas_wdid	drug_chebi_wdid	drug_cui_wdid	phen_cui_wdid
19079	Progesterone	NDFRT	C0033308	17026.0	57-83-0	may_treat			Amenorrhea	C0002453	Amenorrhea	Q26963	Q26963	Q26963	Q334655
19111	Promazine	NDFRT	C0033399	8459.0	58-40-2	may_treat			Nausea	C0027497	Nausea	Q419822	Q419822	Q419822	Q186889
19112	Promazine	NDFRT	C0033399	8459.0	58-40-2	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q419822	Q419822	Q419822	Q170082
19113	Promazine	NDFRT	C0033399	8459.0	58-40-2	may_treat			Vomiting	C0042963	Vomiting	Q419822	Q419822	Q419822	Q127076
19126	Promethazine	NDFRT	C0033405	8461.0	60-87-7	may_treat			Motion Sickness	C0026603	Motion Sickness	Q422970	Q422970	Q422970	Q309067
19127	Promethazine	NDFRT	C0033405	8461.0	60-87-7	may_treat			Nausea	C0027497	Nausea	Q422970	Q422970	Q422970	Q186889
19128	Promethazine	NDFRT	C0033405	8461.0	60-87-7	may_treat			Pain	C0030193	Pain	Q422970	Q422970	Q422970	Q81938
19130	Promethazine	NDFRT	C0033405	8461.0	60-87-7	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q422970	Q422970	Q422970	Q55136018
19131	Promethazine	NDFRT	C0033405	8461.0	60-87-7	may_treat			Vomiting	C0042963	Vomiting	Q422970	Q422970	Q422970	Q127076
19141	Propafenone	NDFRT	C0033429	63619.0	54063-53-5	may_treat			Atrial Fibrillation	C0004238	Atrial Fibrillation	Q662511	Q662511	Q662511	Q815819
19154	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Bladder Diseases	C0005686	Urinary Bladder Diseases	Q3275451	Q3275451	Q3275451	Q6066379
19155	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Irritable Bowel Syndrome	C0022104	Irritable Bowel Syndrome	Q3275451	Q3275451	Q3275451	Q838966
19156	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Pancreatitis	C0030305	Pancreatitis	Q3275451	Q3275451	Q3275451	Q1527888
19157	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Peptic Ulcer	C0030920	Peptic Ulcer	Q3275451	Q3275451	Q3275451	Q172941
19158	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Spasm	C0037763	Spasm	Q3275451	Q3275451	Q3275451	Q574360
19159	Propantheline	NDFRT	C0033447	8481.0	298-50-0	may_treat			Urethral Diseases	C0041969	Urethral Diseases	Q3275451	Q3275451	Q3275451	Q18557550
19195	Propofol	NDFRT	C0033487	44915.0	2078-54-8	may_prevent&treat			Pain	C0030193	Pain	Q422740	Q422740	Q422740	Q81938
19198	Propofol	NDFRT	C0033487	44915.0	2078-54-8	may_treat			Status Epilepticus	C0038220	Status Epilepticus	Q422740	Q422740	Q422740	Q980709
19220	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q423364	Q423364	Q423364	Q180762
19222	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Essential Tremor	C0270736	Essential Tremor	Q423364	Q423364	Q423364	Q693519
19224	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Hypertension	C0020538	Hypertensive Disease	Q423364	Q423364	Q423364	Q41861
19225	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Myocardial Infarction	C0027051	Myocardial Infarction	Q423364	Q423364	Q423364	Q12152
19226	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Panic Disorder	C0030319	Panic Disorder	Q423364	Q423364	Q423364	Q741713
19229	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Tachycardia, Ventricular	C0042514	Tachycardia, Ventricular	Q423364	Q423364	Q423364	Q56002
19230	Propranolol	NDFRT	C0033497	8499.0	525-66-6	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q423364	Q423364	Q423364	Q848662
19243	Propylthiouracil	NDFRT	C0033511	8502.0	51-52-5	may_treat			Goiter	C0018021	Goiter	Q377342	Q377342	Q377342	Q165135
19244	Propylthiouracil	NDFRT	C0033511	8502.0	51-52-5	may_treat			Thyroid Crisis	C0040127	Thyroid Crisis	Q377342	Q377342	Q377342	Q4458080
19276	Protriptyline	NDFRT	C0033743	8597.0	438-60-8	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q408432	Q408432	Q408432	Q66793701
19297	Pseudoephedrine	DrugBank	C0033798	51209.0	90-82-4	treatment		120	For the treatment of nasal congestion, sinus congestion, Eustachian tube congestion, and vasomotor rhinitis, and as an adjunct to other agents in the optimum treatment of allergic rhinitis, croup, sinusitis, otitis media, and tracheobronchitis, Also used as first-line therapy of priapism.	C0035460	Rhinitis, Vasomotor	Q263958	Q263958	Q263958	Q2403156
19303	PSEUDOEPHEDRINE	NDFRT	C0033798	51209.0	90-82-4	may_treat			Asthma	C0004096	Asthma	Q263958	Q263958	Q263958	Q35869
19304	PSEUDOEPHEDRINE	NDFRT	C0033798	51209.0	90-82-4	may_treat			Common Cold	C0009443	Common Cold	Q263958	Q263958	Q263958	Q12125
19305	PSEUDOEPHEDRINE	NDFRT	C0033798	51209.0	90-82-4	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q263958	Q263958	Q263958	Q55136018
19306	PSEUDOEPHEDRINE	NDFRT	C0033798	51209.0	90-82-4	may_treat			Sinusitis	C0037199	Sinusitis	Q263958	Q263958	Q263958	Q183344
19363	Pyrantel	NDFRT	C0034235	8654.0	15686-83-6	may_treat			Ancylostomiasis	C0002831	Ancylostomiasis	Q426897	Q426897	Q426897	Q11679861
19364	Pyrantel	NDFRT	C0034235	8654.0	15686-83-6	may_treat			Ascariasis	C0003950	Ascariasis	Q426897	Q426897	Q426897	Q842428
19387	PYRIDOSTIGMINE	NDFRT	C0034261	8665.0	155-97-5	may_treat			Myasthenia Gravis	C0026896	Myasthenia Gravis	Q419472	Q419472	Q419472	Q8285
19390	Pyridoxine	NDFRT	C0034272	16709.0	65-23-6	may_treat			Seizures	C0036572	Seizures	Q423746	Q423746	Q423746	Q852376
19394	Pyrilamine	NDFRT	C0034282	6762.0	91-84-9	may_treat			Conjunctivitis, Allergic	C0009766	Allergic Conjunctivitis	Q3800087	Q3800087	Q3800087	Q471521
19395	Pyrilamine	NDFRT	C0034282	6762.0	91-84-9	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q3800087	Q3800087	Q3800087	Q55136018
19404	Pyrimethamine	NDFRT	C0034283	8673.0	58-14-0	may_treat			Malaria, Falciparum	C0024535	Malaria, Falciparum	Q421072	Q421072	Q421072	Q18554672
19451	quetiapine	NDFRT	C0123091	8707.0	111974-69-7	may_treat			Autistic Disorder	C0004352	Autistic Disorder	Q408535	Q408535	Q408535	Q38404
19452	quetiapine	NDFRT	C0123091	8707.0	111974-69-7	may_treat			Bipolar Disorder	C0005586	Bipolar Disorder	Q408535	Q408535	Q408535	Q131755
19453	quetiapine	NDFRT	C0123091	8707.0	111974-69-7	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q408535	Q408535	Q408535	Q170082
19466	Quinacrine	NDFRT	C0034403	8711.0	83-89-6	may_treat			Giardiasis	C0017536	Giardiasis	Q417208	Q417208	Q417208	Q326071
19467	Quinacrine	NDFRT	C0034403	8711.0	83-89-6	may_treat			Malaria, Falciparum	C0024535	Malaria, Falciparum	Q417208	Q417208	Q417208	Q18554672
19475	Quinapril	DrugBank	C0072857	8713.0	85441-61-8	treatment		42	For the treatment of hypertension and as adjunct therapy in the treatment of congestive heart failure, May also be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy.	C0020538	Hypertensive Disease	Q596022	Q596022	Q596022	Q41861
19481	quinapril	NDFRT	C0072857	8713.0	85441-61-8	may_prevent&treat			Diabetic Nephropathies	C0011881	Diabetic Nephropathy	Q596022	Q596022	Q596022	Q1129105
19483	quinapril	NDFRT	C0072857	8713.0	85441-61-8	may_treat			Hypertension	C0020538	Hypertensive Disease	Q596022	Q596022	Q596022	Q41861
19503	quinethazone	NDFRT	C0164608	8717.0	73-49-4	may_treat			Edema	C0013604	Edema	Q7272222	Q7272222	Q7272222	Q152234
19505	quinethazone	NDFRT	C0164608	8717.0	73-49-4	may_treat			Hypertension	C0020538	Hypertensive Disease	Q7272222	Q7272222	Q7272222	Q41861
19506	quinethazone	NDFRT	C0164608	8717.0	73-49-4	may_treat			Nephrotic Syndrome	C0027726	Nephrotic Syndrome	Q7272222	Q7272222	Q7272222	Q504790
19524	Quinidine	NDFRT	C0034414	28593.0	56-54-2	may_treat			Atrial Fibrillation	C0004238	Atrial Fibrillation	Q412496	Q412496	Q412496	Q815819
19525	Quinidine	NDFRT	C0034414	28593.0	56-54-2	may_treat			Atrial Flutter	C0004239	Atrial Flutter	Q412496	Q412496	Q412496	Q1506572
19536	Quinine	NDFRT	C0034417	15854.0	130-95-0	may_treat			Babesiosis	C0004576	Babesiosis	Q189522	Q189522	Q189522	Q797668
19537	Quinine	NDFRT	C0034417	15854.0	130-95-0	may_treat			Malaria, Falciparum	C0024535	Malaria, Falciparum	Q189522	Q189522	Q189522	Q18554672
19538	Quinine	NDFRT	C0034417	15854.0	130-95-0	may_prevent&treat			Muscle Cramp	C0026821	Muscle Cramp	Q189522	Q189522	Q189522	Q2006818
19552	rabeprazole	NDFRT	C0378482	8768.0	117976-89-3	may_treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q3515	Q3515	Q3515	Q18968110
19553	rabeprazole	NDFRT	C0378482	8768.0	117976-89-3	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q3515	Q3515	Q3515	Q223591
19555	rabeprazole	NDFRT	C0378482	8768.0	117976-89-3	may_treat			Zollinger-Ellison Syndrome	C0043515	Zollinger-Ellison Syndrome	Q3515	Q3515	Q3515	Q218712
19558	RACEMETHIONINE	NDFRT	C0034504	16811.0	59-51-8	may_treat			Dermatitis	C0011603	Dermatitis	Q180341	Q180341	Q180341	Q229256
19560	RACEMETHIONINE	NDFRT	C0034504	16811.0	59-51-8	may_treat			Overdose	C0029944	Drug Overdose	Q180341	Q180341	Q180341	Q3505252
19604	Ramipril	NDFRT	C0072973	8774.0	87333-19-5	may_prevent&treat			Diabetic Nephropathies	C0011881	Diabetic Nephropathy	Q412666	Q412666	Q412666	Q1129105
19606	Ramipril	NDFRT	C0072973	8774.0	87333-19-5	may_treat			Hypertension	C0020538	Hypertensive Disease	Q412666	Q412666	Q412666	Q41861
19636	Rasagiline	DrugBank	C0525678	63620.0	136236-51-6	treatment		108	For the treatment of the signs and symptoms of idiopathic Parkinsons disease as initial monotherapy and as adjunct therapy to levodopa.	C0037088	Signs And Symptoms	Q420685	Q420685	Q420685	Q28807560
19640	rasagiline	USAN_TC	C0525678	63620.0	136236-51-6	treatment			treatment of Parkinson's disease	C0030567	Parkinson Disease	Q420685	Q420685	Q420685	Q11085
19676	remifentanil	NDFRT	C0246631	8802.0	132875-61-7	may_treat			Pain	C0030193	Pain	Q417902	Q417902	Q417902	Q81938
19711	Reserpine	NDFRT	C0035179	28487.0	50-55-5	may_treat			Dyskinesias	C0013384	Dyskinetic Syndrome	Q407841	Q407841	Q407841	Q55012959
19712	Reserpine	NDFRT	C0035179	28487.0	50-55-5	may_treat			Hypertension	C0020538	Hypertensive Disease	Q407841	Q407841	Q407841	Q41861
19713	Reserpine	NDFRT	C0035179	28487.0	50-55-5	may_treat			Schizophrenia	C0036341	Schizophrenia	Q407841	Q407841	Q407841	Q41112
19760	Ribavirin	NDFRT	C0035525	63580.0	36791-04-5	may_treat			Respiratory Syncytial Virus Infections	C0035235	Respiratory Syncytial Virus Infections	Q421862	Q421862	Q421862	Q18554367
19761	Ribavirin	NDFRT	C0035525	63580.0	36791-04-5	may_treat			West Nile Fever	C0043124	West Nile Fever	Q421862	Q421862	Q421862	Q11627066
19786	Rifabutin	NDFRT	C0140575	45367.0	72559-06-9	may_prevent&treat			Mycobacterium avium-intracellulare Infection	C0026916	Mycobacterium Avium-Intracellulare Infection	Q1135705	Q1135705	Q1135705	Q6946984
19787	Rifabutin	NDFRT	C0140575	45367.0	72559-06-9	may_prevent&treat			Tuberculosis, Pulmonary	C0041327	Tuberculosis, Pulmonary	Q1135705	Q1135705	Q1135705	Q18555243
19806	rifapentine	NDFRT	C0073372	45304.0	61379-65-5	may_treat			Tuberculosis, Pulmonary	C0041327	Tuberculosis, Pulmonary	Q3935297	Q3935297	Q3935297	Q18555243
19825	rilpivirine	USAN_TC	C1566826	68606.0	500287-72-9	treatment			treatment of HIV infection	C0019693	Hiv Infections	Q421547	Q421547	Q421547	Q18556697
19830	Riluzole	NDFRT	C0073379	8863.0	1744-22-5	may_treat			Amyotrophic Lateral Sclerosis	C0002736	Amyotrophic Lateral Sclerosis	Q415744	Q415744	Q415744	Q206901
19832	riluzole	USAN_TC	C0073379	8863.0	1744-22-5	treatment			amyotrophic lateral sclerosis treatment	C0002736	Amyotrophic Lateral Sclerosis	Q415744	Q415744	Q415744	Q206901
19853	riociguat	USAN_TC	C2717561	76018.0	625115-55-1	treatment			treatment of pulmonary hypertension	C0020542	Pulmonary Hypertension	Q2154494	Q2154494	Q2154494	Q1128595
19863	Risperidone	NDFRT	C0073393	8871.0	106266-06-2	may_treat			Autistic Disorder	C0004352	Autistic Disorder	Q412443	Q412443	Q412443	Q38404
19864	Risperidone	NDFRT	C0073393	8871.0	106266-06-2	may_treat			Bipolar Disorder	C0005586	Bipolar Disorder	Q412443	Q412443	Q412443	Q131755
19865	Risperidone	NDFRT	C0073393	8871.0	106266-06-2	may_treat			Dementia	C0497327	Dementia	Q412443	Q412443	Q412443	Q83030
19866	Risperidone	NDFRT	C0073393	8871.0	106266-06-2	may_treat			Schizophrenia	C0036341	Schizophrenia	Q412443	Q412443	Q412443	Q41112
19937	rofecoxib	NDFRT	C0762662	8887.0	162011-90-7	may_treat			Dysmenorrhea	C0013390	Dysmenorrhea	Q411412	Q411412	Q411412	Q816422
19977	ropinirole	NDFRT	C0244821	8888.0	91374-21-9	may_treat			Parkinson Disease	C0030567	Parkinson Disease	Q420590	Q420590	Q420590	Q11085
20031	ruxolitinib	USAN_TC	C2931926	66919.0	941678-49-5	treatment			treatment of cancer	C0006826	Malignant Neoplasms	Q7383611	Q7383611	Q7383611	Q12078
20060	salicylamide	NDFRT	C0036071	32114.0	65-45-2	may_treat			Fever	C0015967	Fever	Q2496906	Q2496906	Q2496906	Q38933
20061	salicylamide	NDFRT	C0036071	32114.0	65-45-2	may_treat			Pain	C0030193	Pain	Q2496906	Q2496906	Q2496906	Q81938
20082	SALSALATE	NDFRT	C0073983	9014.0	552-94-3	may_treat			Arthritis	C0003864	Arthritis	Q1320691	Q1320691	Q1320691	Q170990
20083	SALSALATE	NDFRT	C0073983	9014.0	552-94-3	may_treat			Fever	C0015967	Fever	Q1320691	Q1320691	Q1320691	Q38933
20084	SALSALATE	NDFRT	C0073983	9014.0	552-94-3	may_treat			Pain	C0030193	Pain	Q1320691	Q1320691	Q1320691	Q81938
20171	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Colonic Diseases	C0009373	Colonic Diseases	Q337188	Q337188	Q337188	Q18556754
20172	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Diverticulitis	C0012813	Diverticulitis	Q337188	Q337188	Q337188	Q1066061
20174	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Facial Paralysis	C0015469	Facial Paralysis	Q337188	Q337188	Q337188	Q7562539
20175	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Iridocyclitis	C0022073	Iridocyclitis	Q337188	Q337188	Q337188	Q145790
20178	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Parkinson Disease, Postencephalitic	C0030568	Parkinson Disease, Postencephalitic	Q337188	Q337188	Q337188	Q3508787
20179	Scopolamine	NDFRT	C0036442	16794.0	51-34-3	may_treat			Rhinitis, Vasomotor	C0035460	Rhinitis, Vasomotor	Q337188	Q337188	Q337188	Q2403156
20222	Selenium	NDFRT	C0036581	27568.0	7782-49-2	may_prevent&treat			Deficiency Diseases	C0011156	Deficiency Diseases	Q876	Q876	Q876	Q1890194
20277	Sertraline	NDFRT	C0074393	9123.0	79617-96-2	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q407617	Q407617	Q407617	Q66793701
20278	Sertraline	NDFRT	C0074393	9123.0	79617-96-2	may_treat			Eating Disorders	C0013473	Eating Disorders	Q407617	Q407617	Q407617	Q373822
20279	Sertraline	NDFRT	C0074393	9123.0	79617-96-2	may_treat			Obsessive-Compulsive Disorder	C0028768	Obsessive-Compulsive Disorder	Q407617	Q407617	Q407617	Q178190
20280	Sertraline	NDFRT	C0074393	9123.0	79617-96-2	may_treat			Panic Disorder	C0030319	Panic Disorder	Q407617	Q407617	Q407617	Q741713
20319	sibutramine	NDFRT	C0074493	9137.0	106650-56-0	may_treat			Obesity	C0028754	Obesity	Q424151	Q424151	Q424151	Q12174
20334	sildenafil	NDFRT	C0529793	9139.0	139755-83-2	may_treat			Impotence, Vasculogenic	C0243000	Impotence, Vasculogenic	Q191521	Q191521	Q191521	Q18556468
20356	Simvastatin	NDFRT	C0074554	9150.0	79902-63-9	may_treat			Hypercholesterolemia	C0020443	Hypercholesterolemia	Q670131	Q670131	Q670131	Q762713
20425	sorafenib	USAN_TC	C1516119	50924.0	284461-73-0	treatment			treatment of cancer	C0006826	Malignant Neoplasms	Q421136	Q421136	Q421136	Q12078
20428	Sorbitol	NDFRT	C0037688	30911.0	50-70-4	may_treat			Constipation	C0009806	Constipation	Q245280	Q245280	Q245280	Q178436
20429	Sorbitol	NDFRT	C0037688	30911.0	50-70-4	may_treat			Poisoning	C0032343	Poisoning	Q245280	Q245280	Q245280	Q114953
20441	Sotalol	NDFRT	C0037707	63622.0	3930-20-9	may_treat			Atrial Fibrillation	C0004238	Atrial Fibrillation	Q413591	Q413591	Q413591	Q815819
20442	Sotalol	NDFRT	C0037707	63622.0	3930-20-9	may_treat			Atrial Flutter	C0004239	Atrial Flutter	Q413591	Q413591	Q413591	Q1506572
20444	Sotalol	NDFRT	C0037707	63622.0	3930-20-9	may_treat			Tachycardia, Ventricular	C0042514	Tachycardia, Ventricular	Q413591	Q413591	Q413591	Q56002
20445	Sotalol	NDFRT	C0037707	63622.0	3930-20-9	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q413591	Q413591	Q413591	Q848662
20451	sparfloxacin	NDFRT	C0052585	9212.0	110871-86-8	may_treat			Chlamydia Infections	C0008149	Chlamydia Infections	Q976559	Q976559	Q976559	Q153356
20452	sparfloxacin	NDFRT	C0052585	9212.0	110871-86-8	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q976559	Q976559	Q976559	Q18975220
20455	sparfloxacin	NDFRT	C0052585	9212.0	110871-86-8	may_treat			Pneumonia	C0032285	Pneumonia	Q976559	Q976559	Q976559	Q12192
20458	sparfloxacin	NDFRT	C0052585	9212.0	110871-86-8	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q976559	Q976559	Q976559	Q34879
20459	sparfloxacin	NDFRT	C0052585	9212.0	110871-86-8	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q976559	Q976559	Q976559	Q11564537
20467	Spectinomycin	NDFRT	C0001268	9215.0	1695-77-8	may_treat			Gonorrhea	C0018081	Gonorrhea	Q416154	Q416154	Q416154	Q101896
20498	Spironolactone	NDFRT	C0037982	9241.0	52-01-7	may_treat			Ascites	C0003962	Ascites	Q422188	Q422188	Q422188	Q193889
20499	Spironolactone	NDFRT	C0037982	9241.0	52-01-7	may_treat			Edema	C0013604	Edema	Q422188	Q422188	Q422188	Q152234
20501	Spironolactone	NDFRT	C0037982	9241.0	52-01-7	may_treat			Hirsutism	C0019572	Hirsutism	Q422188	Q422188	Q422188	Q1620594
20503	Spironolactone	NDFRT	C0037982	9241.0	52-01-7	may_treat			Hypertension	C0020538	Hypertensive Disease	Q422188	Q422188	Q422188	Q41861
20504	Spironolactone	NDFRT	C0037982	9241.0	52-01-7	may_treat			Hypokalemia	C0020621	Hypokalemia	Q422188	Q422188	Q422188	Q794086
20621	Sufentanil	NDFRT	C0143993	9316.0	56030-54-7	may_treat			Pain	C0030193	Pain	Q417915	Q417915	Q417915	Q81938
20634	Sulfacetamide	NDFRT	C0038670	63845.0	144-80-9	may_treat			Corneal Ulcer	C0010043	Corneal Ulcer	Q2022983	Q2022983	Q2022983	Q1628473
20635	Sulfacetamide	NDFRT	C0038670	63845.0	144-80-9	may_treat			Dermatitis, Seborrheic	C0036508	Seborrheic Dermatitis	Q2022983	Q2022983	Q2022983	Q448310
20636	Sulfacetamide	NDFRT	C0038670	63845.0	144-80-9	may_treat			Ear Diseases	C0013447	Ear Diseases	Q2022983	Q2022983	Q2022983	Q5325633
20638	Sulfacetamide	NDFRT	C0038670	63845.0	144-80-9	may_treat			Trachoma	C0040592	Trachoma	Q2022983	Q2022983	Q2022983	Q193216
20654	Sulfadiazine	NDFRT	C0038675	9328.0	68-35-9	may_treat			Malaria	C0024530	Malaria	Q2555060	Q2555060	Q2555060	Q12156
20655	Sulfadiazine	NDFRT	C0038675	9328.0	68-35-9	may_treat			Nocardia Infections	C0028242	Nocardia Infections	Q2555060	Q2555060	Q2555060	Q1856914
20657	Sulfadiazine	NDFRT	C0038675	9328.0	68-35-9	may_treat			Toxoplasmosis	C0040558	Toxoplasmosis	Q2555060	Q2555060	Q2555060	Q154878
20658	Sulfadiazine	NDFRT	C0038675	9328.0	68-35-9	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q2555060	Q2555060	Q2555060	Q55779861
20667	Sulfadoxine	NDFRT	C0038679	9329.0	2447-57-6	may_treat			Malaria, Falciparum	C0024535	Malaria, Falciparum	Q411557	Q411557	Q411557	Q18554672
20686	Sulfamethizole	NDFRT	C0038687	9331.0	144-82-1	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q3976824	Q3976824	Q3976824	Q55779861
20692	Sulfamethoxazole	NDFRT	C0038689	9332.0	723-46-6	may_treat			Nocardia Infections	C0028242	Nocardia Infections	Q415843	Q415843	Q415843	Q1856914
20693	Sulfamethoxazole	NDFRT	C0038689	9332.0	723-46-6	may_treat			Otitis Media	C0029882	Otitis Media	Q415843	Q415843	Q415843	Q223254
20694	Sulfamethoxazole	NDFRT	C0038689	9332.0	723-46-6	may_treat			Toxoplasmosis	C0040558	Toxoplasmosis	Q415843	Q415843	Q415843	Q154878
20695	Sulfamethoxazole	NDFRT	C0038689	9332.0	723-46-6	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q415843	Q415843	Q415843	Q55779861
20702	sulfanilamide	NDFRT	C0038702	45373.0	63-74-1	may_treat			Candidiasis, Vulvovaginal	C0700345	Candidiasis, Vulvovaginal	Q423423	Q423423	Q423423	Q977090
20707	Sulfapyridine	NDFRT	C0038710	132842.0	144-83-2	may_treat			Dermatitis Herpetiformis	C0011608	Dermatitis Herpetiformis	Q3976827	Q3976827	Q3976827	Q1151507
20709	Sulfapyridine	NDFRT	C0038710	132842.0	144-83-2	may_treat			Pyoderma Gangrenosum	C0085652	Pyoderma Gangrenosum	Q3976827	Q3976827	Q3976827	Q1526459
20716	sulfasalazine	DailyMed	C0036078	9334.0	599-79-1	treatment		124	INDICATIONS AND USAGE AZULFIDINE Tablets are indicated: a) in the treatment of mild to moderate ulcerative colitis, and as adjunctive therapy in severe ulcerative colitis, and b) for the prolongation of the remission period between acute attacks of ulcerative colitis,	C0009324	Ulcerative Colitis	Q420035	Q420035	Q420035	Q1477
20722	Sulfasalazine	NDFRT	C0036078	9334.0	599-79-1	may_treat			Colitis, Ulcerative	C0009324	Ulcerative Colitis	Q420035	Q420035	Q420035	Q1477
20725	SULFATHIAZOLE	NDFRT	C0038722	9337.0	72-14-0	may_treat			Vaginitis	C0042267	Vaginitis	Q408427	Q408427	Q408427	Q676191
20729	Sulfinpyrazone	NDFRT	C0038742	9342.0	57-96-5	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q3790542	Q3790542	Q3790542	Q180762
20731	Sulfinpyrazone	NDFRT	C0038742	9342.0	57-96-5	may_treat			Myocardial Infarction	C0027051	Myocardial Infarction	Q3790542	Q3790542	Q3790542	Q12152
20736	Sulfisoxazole	NDFRT	C0038745	102484.0	127-69-5	may_treat			Chlamydia Infections	C0008149	Chlamydia Infections	Q372598	Q372598	Q372598	Q153356
20737	Sulfisoxazole	NDFRT	C0038745	102484.0	127-69-5	may_treat			Nocardia Infections	C0028242	Nocardia Infections	Q372598	Q372598	Q372598	Q1856914
20738	Sulfisoxazole	NDFRT	C0038745	102484.0	127-69-5	may_treat			Otitis Media	C0029882	Otitis Media	Q372598	Q372598	Q372598	Q223254
20740	Sulfisoxazole	NDFRT	C0038745	102484.0	127-69-5	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q372598	Q372598	Q372598	Q55779861
20771	Sulindac	NDFRT	C0038792	9352.0	38194-50-2	may_treat			Arthritis, Rheumatoid	C0003873	Rheumatoid Arthritis	Q963093	Q963093	Q963093	Q187255
20772	Sulindac	NDFRT	C0038792	9352.0	38194-50-2	may_treat			Inflammation	C0021368	Inflammation	Q963093	Q963093	Q963093	Q101991
20826	Sumatriptan	NDFRT	C0075632	10650.0	103628-46-2	may_treat			Cluster Headache	C0009088	Cluster Headache	Q416978	Q416978	Q416978	Q166907
20933	Tamoxifen	NDFRT	C0039286	41774.0	10540-29-1	may_treat			Gynecomastia	C0018418	Gynecomastia	Q412178	Q412178	Q412178	Q339221
20976	tazarotene	NDFRT	C0288792	32184.0	118292-40-3	may_treat			Psoriasis	C0033860	Psoriasis	Q3981685	Q3981685	Q3981685	Q179945
21024	telmisartan	NDFRT	C0248719	9434.0	144701-48-4	may_treat			Diabetic Nephropathies	C0011881	Diabetic Nephropathy	Q733186	Q733186	Q733186	Q1129105
21026	telmisartan	NDFRT	C0248719	9434.0	144701-48-4	may_treat			Hypertension	C0020538	Hypertensive Disease	Q733186	Q733186	Q733186	Q41861
21036	Temazepam	NDFRT	C0039468	9435.0	846-50-4	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q414796	Q414796	Q414796	Q66793701
21037	Temazepam	NDFRT	C0039468	9435.0	846-50-4	may_treat			Panic Disorder	C0030319	Panic Disorder	Q414796	Q414796	Q414796	Q741713
21057	temozolomide	NDFRT	C0076080	72564.0	85622-93-1	may_treat			Astrocytoma	C0004114	Astrocytoma	Q425088	Q425088	Q425088	Q177755
21058	temozolomide	NDFRT	C0076080	72564.0	85622-93-1	may_treat			Melanoma	C0025202	Melanoma	Q425088	Q425088	Q425088	Q180614
21119	TERAZOSIN	NDFRT	C0076107	9445.0	63590-64-7	may_treat			Hypertension	C0020538	Hypertensive Disease	Q280786	Q280786	Q280786	Q41861
21121	TERAZOSIN	NDFRT	C0076107	9445.0	63590-64-7	may_treat			Urinary Retention	C0080274	Urinary Retention	Q280786	Q280786	Q280786	Q1366695
21124	terbinafine	NDFRT	C0076110	9448.0	91161-71-6	may_treat			Candidiasis, Chronic Mucocutaneous	C0006845	Candidiasis, Chronic Mucocutaneous	Q415259	Q415259	Q415259	Q3705799
